video_id,skill_id,batch_id
FN78JowwpSY,matplotlib_visualization,2025-11-07-static-v1
4qq7W4_V5pI,matplotlib_visualization,2025-11-07-static-v1
pgU1vYKeoaE,matplotlib_visualization,2025-11-07-static-v1
8Hnvd_cjKIw,matplotlib_visualization,2025-11-07-static-v1
4uHye1tSQP8,matplotlib_visualization,2025-11-07-static-v1
-jTD74eEy2I,matplotlib_visualization,2025-11-07-static-v1
uF0BAYfyqFo,matplotlib_visualization,2025-11-07-static-v1
r-uOLxNrNk8,matplotlib_visualization,2025-11-07-static-v1
0B5eIE_1vpU,sklearn_model_training,2025-11-07-static-v1
SW0YGA9d8y8,sklearn_model_training,2025-11-07-static-v1
-IvNzmrcyUM,sklearn_model_training,2025-11-07-static-v1
SIEaLBXr0rk,sklearn_model_training,2025-11-07-static-v1
M9Itm95JzL0,sklearn_model_training,2025-11-07-static-v1
pqNCD_5r0IU,sklearn_model_training,2025-11-07-static-v1
B5VFg5l6rRs,sklearn_model_training,2025-11-07-static-v1
7z8-QWlbmoo,sklearn_model_training,2025-11-07-static-v1
RiEpSd4j0vE,sklearn_model_training,2025-11-07-static-v1
0Lt9w-BxKFQ,sklearn_model_training,2025-11-07-static-v1
t3ecaDij_pU,sklearn_model_training,2025-11-07-static-v1
bwZ3Qiuj3i8,sklearn_model_training,2025-11-07-static-v1
ccukQiz2X5o,sklearn_model_training,2025-11-07-static-v1
DSI5bcxeBvc,sklearn_model_training,2025-11-07-static-v1
TpmDITl8Qwk,sklearn_model_training,2025-11-07-static-v1
xIqX1dqcNbY,sklearn_model_training,2025-11-07-static-v1
oFa8NvTLkKE,sklearn_model_training,2025-11-07-static-v1
hDKCxebp88A,sklearn_model_training,2025-11-07-static-v1
SjOfbbfI2qY,sklearn_model_training,2025-11-07-static-v1
0tv6ehKCZJQ,sklearn_model_training,2025-11-07-static-v1
777Qb0gHuJU,sklearn_model_training,2025-11-07-static-v1
_QuGM_FW9eo,sklearn_model_training,2025-11-07-static-v1
qNxrPri1V0I,sklearn_model_training,2025-11-07-static-v1
aL21Y-u0SRs,sklearn_model_training,2025-11-07-static-v1
CVszSgTWODE,sklearn_model_training,2025-11-07-static-v1
RlQuVL6-qe8,sklearn_model_training,2025-11-07-static-v1
-8s9KuNo5SA,sklearn_model_training,2025-11-07-static-v1
29ZQ3TDGgRQ,sklearn_model_training,2025-11-07-static-v1
BotYLBQfd5M,sklearn_model_training,2025-11-07-static-v1
XmSlFPDjKdc,sklearn_model_training,2025-11-07-static-v1
ib7-rrG4gIA,sklearn_model_training,2025-11-07-static-v1
ETChs4iQa8g,sklearn_model_training,2025-11-07-static-v1
QSoEWNJg3B4,sklearn_model_training,2025-11-07-static-v1
8zrnT1693_4,sklearn_model_training,2025-11-07-static-v1
tJ2SlPcYdc0,sklearn_model_training,2025-11-07-static-v1
acXmk4Bx8pI,sklearn_model_training,2025-11-07-static-v1
il8dMDlXrIE,sklearn_model_training,2025-11-07-static-v1
MSAw7Q-ffsY,sklearn_model_training,2025-11-07-static-v1
85dtiMz9tSo,sklearn_model_training,2025-11-07-static-v1
QVuSQJBSEGM,sklearn_model_training,2025-11-07-static-v1
6rpz0NSErSQ,sklearn_model_training,2025-11-07-static-v1
RJs-KNrwYKY,sklearn_model_training,2025-11-07-static-v1
XWx8sjTkiuQ,sklearn_model_training,2025-11-07-static-v1
lzXKsY3bANw,sklearn_model_training,2025-11-07-static-v1
57duf16I74c,sklearn_model_training,2025-11-07-static-v1
ukZn2RJb7TU,sklearn_model_training,2025-11-07-static-v1
8jazNUpO3lQ,sklearn_model_training,2025-11-07-static-v1
R15LjD8aCzc,sklearn_model_training,2025-11-07-static-v1
b0L47BeklTE,sklearn_model_training,2025-11-07-static-v1
aV_sRopNTrw,sklearn_model_training,2025-11-07-static-v1
9crcSlhReas,sklearn_model_training,2025-11-07-static-v1
S-50vbGGaME,sklearn_model_training,2025-11-07-static-v1
feDJkDaNuOk,sklearn_model_training,2025-11-07-static-v1
icCKg7LIYF0,sklearn_model_training,2025-11-07-static-v1
3Q6gzUPecLE,sklearn_model_training,2025-11-07-static-v1
1nv-geRSeqk,sklearn_model_training,2025-11-07-static-v1
X2fM06o-9Pc,sklearn_model_training,2025-11-07-static-v1
VqKq78PVO9g,sklearn_model_training,2025-11-07-static-v1
N6l46rYSCpM,sklearn_model_training,2025-11-07-static-v1
hS2IZOX1rmI,sklearn_model_training,2025-11-07-static-v1
ZF4snBjonEo,sklearn_model_training,2025-11-07-static-v1
JHWqWIoac2I,pytorch_neural_networks,2025-11-07-static-v1
ORMx45xqWkA,pytorch_neural_networks,2025-11-07-static-v1
tHL5STNJKag,pytorch_neural_networks,2025-11-07-static-v1
mozBidd58VQ,pytorch_neural_networks,2025-11-07-static-v1
FHdlXe1bSe4,pytorch_neural_networks,2025-11-07-static-v1
V_xro1bcAuA,pytorch_neural_networks,2025-11-07-static-v1
_fZwxh2aro8,pytorch_neural_networks,2025-11-07-static-v1
IFsVsXAqPto,pytorch_neural_networks,2025-11-07-static-v1
r1bquDz5GGA,pytorch_neural_networks,2025-11-07-static-v1
fJ40w_2h8kk,pytorch_neural_networks,2025-11-07-static-v1
khMzi6xPbuM,pytorch_neural_networks,2025-11-07-static-v1
e5CDe00B3vE,pytorch_neural_networks,2025-11-07-static-v1
Jy4wM2X21u0,pytorch_neural_networks,2025-11-07-static-v1
fSgNjOvXTCs,pytorch_neural_networks,2025-11-07-static-v1
GIsg-ZUy0MY,pytorch_neural_networks,2025-11-07-static-v1
MswxJw-8PvE,pytorch_neural_networks,2025-11-07-static-v1
5TTliT31bew,pytorch_neural_networks,2025-11-07-static-v1
z-ZR_8BZ1wQ,pytorch_neural_networks,2025-11-07-static-v1
pDdP0TFzsoQ,pytorch_neural_networks,2025-11-07-static-v1
po5qTPKBrRc,pytorch_neural_networks,2025-11-07-static-v1
c36lUUr864M,pytorch_neural_networks,2025-11-07-static-v1
OIenNRt2bjg,pytorch_neural_networks,2025-11-07-static-v1
kY14KfZQ1TI,pytorch_neural_networks,2025-11-07-static-v1
Z_ikDlimN6A,pytorch_neural_networks,2025-11-07-static-v1
iyHkg7TmHmE,pytorch_neural_networks,2025-11-07-static-v1
zcXD8IDa4N4,pytorch_neural_networks,2025-11-07-static-v1
rgP_LBtaUEc,pytorch_neural_networks,2025-11-07-static-v1
IC0_FRiX-sw,pytorch_neural_networks,2025-11-07-static-v1
Idg5uFnpV1M,pytorch_neural_networks,2025-11-07-static-v1
IiZ-88nFMZM,pytorch_neural_networks,2025-11-07-static-v1
OXirbkI2a44,pytorch_neural_networks,2025-11-07-static-v1
5ioMqzMRFgM,pytorch_neural_networks,2025-11-07-static-v1
cLLsc4Hlo-8,pytorch_neural_networks,2025-11-07-static-v1
oM0sfPWHW7k,pytorch_neural_networks,2025-11-07-static-v1
r7QDUPb2dCM,pytorch_neural_networks,2025-11-07-static-v1
E0bwEAWmVEM,pytorch_neural_networks,2025-11-07-static-v1
i8NETqtGHms,pytorch_neural_networks,2025-11-07-static-v1
lhnYJnYxzFI,pytorch_neural_networks,2025-11-07-static-v1
zEy9rFnKDAw,pytorch_neural_networks,2025-11-07-static-v1
w8yWXqWQYmU,pytorch_neural_networks,2025-11-07-static-v1
cAkMcPfY_Ns,pytorch_neural_networks,2025-11-07-static-v1
IkqlBFeSmug,pytorch_neural_networks,2025-11-07-static-v1
A83BbHFoKb8,pytorch_neural_networks,2025-11-07-static-v1
hfMk-kjRv4c,pytorch_neural_networks,2025-11-07-static-v1
VMj-3S1tku0,pytorch_neural_networks,2025-11-07-static-v1
_pIMdDWK5sc,pytorch_neural_networks,2025-11-07-static-v1
aircAruvnKk,pytorch_neural_networks,2025-11-07-static-v1
clqzN2lA6Io,pytorch_neural_networks,2025-11-07-static-v1
NMiNCUt7qgw,tensorflow_image_classification,2025-11-07-static-v1
7HPwo4wnJeA,tensorflow_image_classification,2025-11-07-static-v1
IIs1flEtpQk,tensorflow_image_classification,2025-11-07-static-v1
Gz_PsRRxrHM,tensorflow_image_classification,2025-11-07-static-v1
AACPaoDsd50,tensorflow_image_classification,2025-11-07-static-v1
u2TjZzNuly8,tensorflow_image_classification,2025-11-07-static-v1
i8NETqtGHms,tensorflow_image_classification,2025-11-07-static-v1
jztwpsIzEGc,tensorflow_image_classification,2025-11-07-static-v1
vpber1mwvrE,tensorflow_image_classification,2025-11-07-static-v1
uPKsnSu_09M,tensorflow_image_classification,2025-11-07-static-v1
7JvriP1lWJA,tensorflow_image_classification,2025-11-07-static-v1
qaQofXTxkSo,tensorflow_image_classification,2025-11-07-static-v1
6NaxGOxThYY,tensorflow_image_classification,2025-11-07-static-v1
MW4qG56mbhg,tensorflow_image_classification,2025-11-07-static-v1
NtFzp48AgBo,tensorflow_image_classification,2025-11-07-static-v1
EvE0xT36kO0,tensorflow_image_classification,2025-11-07-static-v1
taC5pMCm70U,tensorflow_image_classification,2025-11-07-static-v1
_pBeazWc0eQ,tensorflow_image_classification,2025-11-07-static-v1
Aj9i2_L2MYk,tensorflow_image_classification,2025-11-07-static-v1
po5qTPKBrRc,tensorflow_image_classification,2025-11-07-static-v1
x_VrgWTKkiM,tensorflow_image_classification,2025-11-07-static-v1
tPYj3fFJGjk,tensorflow_image_classification,2025-11-07-static-v1
zfiSAzpy9NM,tensorflow_image_classification,2025-11-07-static-v1
qFJeN9V1ZsI,tensorflow_image_classification,2025-11-07-static-v1
VPlFpvLOgtQ,tensorflow_image_classification,2025-11-07-static-v1
